giorno;mese;progessivo;santo
02;07;1;santi Processo e Martiniano, martiri
02;07;2;santi Liberato, Bonifacio, Servio e Rustico, Rogato, Settimo e Massimo, martiri
02;07;3;san Monegonda
02;07;4;san Svitino, vescovo di Winchester
02;07;5;san Lidano, fondatore e abate di Santa Cecilia a Sezze
02;07;6;beato Pietro di Lussemburgo, vescovo di Metz
02;07;7;beati Giovanni e Pietro Becchetti, sacerdoti agostiniani
02;07;8;san Bernardino Realino, sacerdote della Compagnia di Gesù
02;07;9;beata Eugenia Joubert, vergine della congregazione della Sacra Famiglia e del Cuore.
03;07;1;san Tommaso, apostolo
03;07;2;sant'Anatolio, vescovo di Laodicea di Siria
03;07;3;san Mennone, centurione, martire
03;07;4;santi Marco e Mociano, martiri
03;07;5;sant'Eliodoro, vescovo di Altino
03;07;6;sant'Anatolio, vescovo di Costantinopoli
03;07;7;san Leone II, papa
03;07;8;san Raimondo Gayrard
03;07;9;san Giuseppe Nguy?n Ðình Uy?n, martire
03;07;10;san Filippo Phan V?n Minh, sacerdote e martire
03;07;11;beata Maria Anna Mogas Fontcuberta, vergine, fondatrice delle Francescane Missionarie della Madre del Divin Pastore
03;07;12;santi Pietro Zhao Mingzhen e Giovan Battista Zhao Mingxi, martiri.
04;07;1;sant'Elisabetta, regina di Portogallo
04;07;2;san Giocondiano, martire
04;07;3;san Lauriano, martire
04;07;4;san Teodoro, vescovo di Cirene
04;07;5;san Fiorenzo, vescovo di Cahors
04;07;6;san Valentino, sacerdote ed eremita
04;07;7;santa Berta, abbadessa
04;07;8;sant'Andrea di Creta, vescovo di Gortina
04;07;9;sant'Uldarico, vescovo di Augusta
04;07;10;beato Giovanni da Vespignano
04;07;11;beati Giovanni detto Cornelio, gesuita, Tommaso Bosgrave, Giovanni Carey e Patrizio Salmon, martiri
04;07;12;beati Guglielmo Andleby, sacerdote, Enrico Abbot, Tommaso Warcop ed Eduardo Fulthorp, martiri
04;07;13;sant'Antonio Daniel, sacerdote gesuita e martire
04;07;14;beata Caterina Jarrige, vergine, terziaria domenicana
04;07;15;san Cesidio da Fossa, sacerdote francescano e martire
04;07;16;beato Pier Giorgio Frassati, terziario domenicano
04;07;17;beato Giuseppe Kowalski, martire.
05;07;1;sant'Antonio Maria Zaccaria, sacerdote, fondatore dei Chierici Regolari di San Paolo
05;07;2;santa Ciprilla, martire
05;07;3;sant'Atanasio di Gerusalemme, diacono e martire
05;07;4;san Domizio detto Medico, martire, eremita
05;07;5;santa Marta, madre di san Simeone Stilita il giovane
05;07;6;sant'Atanasio, fondatore ed egumeno della Grande Laura
05;07;7;beati Matteo Lambert, Roberto Meyler, Edoardo Cheevers e Patrizio Cavanagh, martiri
05;07;8;beati Giorgio Nichols, Riccardo Yaxley, sacerdoti, Tommaso Belson e Humphred Pritchard, martiri
05;07;9;sante Teresa Chen Jinxie e Rosa Chen Aixie, vergini e martiri.
06;07;1;santa Maria Goretti, vergine e martire
06;07;2;santa Ciriaca vergine e martire
06;07;3;san Romolo, primo vescovo di Fiesole e martire
06;07;4;san Sisoe, detto il Grande, eremita
06;07;5;san Palladio, vescovo
06;07;6;santa Monenna, fondatrice e badessa del monastero di Killeevy
06;07;7;san Goar, prete
06;07;8;san Giusto, monaco a Condat
06;07;9;passione di san Tommaso Moro
06;07;10;beato Tommaso Alfield, sacerdote e martire
06;07;11;beato Elia Desgardin, monaco trappista e martire
06;07;12;beata Maria Rosa de Loye, vergine benedettina e martire
06;07;13;san Pietro Wang Zuolong, martire
06;07;14;beata Maria Teresa Ledóchowska, vergine, fondatrice delle Suore Missionarie di San Pietro Claver
06;07;15;santa Nazaria Ignazia di Santa Teresa, vergine, fondatrice delle Missionarie Crociate della Chiesa.
07;07;1;san Panteno
07;07;2;sant'Edilburga, badessa del monastero di Faremoutiers
07;07;3;sant'Edda, vescovo dei Sassoni occidentali
07;07;4;san Villibaldo, vescovo di Eichstätt
07;07;5;san Mael Ruain, vescovo-abate di Tallaght
07;07;6;sant'Oddone, vescovo di Urgell
07;07;7;beato Benedetto XI, papa domenicano
07;07;8;beato Odino Barotti, sacerdote
07;07;9;beati Roger Dickinson, sacerdote, e Randolph Milner, martiri
07;07;10;beato Lorenzo Humphrey
07;07;11;beato Giovanni Giuseppe Juge de Saint-Martin, sacerdote sulpiziano e martire
07;07;12;beata Ifigenia di san Matteo, vergine sacramentina e martire
07;07;13;santi Antonino Fantosati, vescovo di Adraa e vicario apostolico dell'Hunan meridionale, e Giuseppe Maria Gambaro, sacerdote, martiri francescani
07;07;14;san Marco Ji Tianxiang, martire
07;07;15;san Maria Guo Lizhi, martire
07;07;16;beato Pietro To Rot, martire.
08;07;1;santi Aquila e Priscilla, coniugi
08;07;2;santa Eraclea, martire
08;07;3;san Procopio, martire
08;07;4;san Pancrazio, primo vescovo di Taormina e martire
08;07;5;sant'Auspicio, vescovo di Toul
08;07;6;san Disibodo, eremita
08;07;7;santa Landrada, abbadessa
08;07;8;san Chiliano, martire
08;07;9;santi monaci abramiti, martiri
08;07;10;sant'Adriano III, papa
08;07;11;sant'Eugenio III, papa
08;07;12;beato Pietro Vigne, fondatore delle Religiose del Santissimo Sacramento
08;07;13;beato Mancio Araki, martire
08;07;14;san Giovanni Wu Wenyin, martire.
09;07;1;santi Agostino Zhao Rong, sacerdote, Pietro Sans i Jordà, vescovo di Mauricastro e vicario apostolico del Fujian, e compagni, martiri
09;07;2;beata Giovanna Scopelli, vergine carmelitana
09;07;3;beato Adriano Fortescue, martire
09;07;4;santi Nicola Pieck e compagni, martiri di Gorcum
09;07;5;santa Veronica Giuliani, badessa clarissa
09;07;6;beate Marianna di Santa Melania de Guilhermier e Margherita degli Angeli de Rocher, vergini orsoline e martiri
09;07;7;san Gioacchino He Kaizhi, catechista e martire
09;07;8;santi Gregorio Maria Grassi, vescovo titolare di Ortosia di Fenicia e vicario apostolico dello Shanxi meridionale, e Francesco Fogolla, vescovo titolare di Bagi, francescani, e ventiquattro compagni, martiri
09;07;9;santa Paolina del Cuore Agonizzante di Gesù, fondatrice delle Piccole Suore dell'Immacolata Concezione
09;07;10;beato Fedele Chijnacki, cappuccino e martire
09;07;11;beata Maria di Gesù Crocefisso Petkovi?, fondatrice delle Figlie della Misericordia Francescane.
10;07;1;san Paterniano, vescovo di Fano
10;07;2;santi martiri romani
10;07;3;sante Rufina e Seconda, martiri
10;07;4;sante Vittoria e Anatolia, martiri
10;07;5;santi Gennaro e Marino, martiri
10;07;6;sant'Apollonio di Sardi, martire
10;07;7;santi martiri di Nicopoli
10;07;8;santi Bianore e Silvano, martiri
10;07;9;san Pascario, vescovo di Nantes
10;07;10;santa Amalberga, vergine
10;07;11;san Pietro Vincioli, sacerdote e abate
10;07;12;san Canuto, re di Danimarca e martire
10;07;13;beate Maria Gertrude di Santa Sofia de Ripert d'Alauzier e Agnese di Gesù de Romillon, vergini orsoline e martiri
10;07;14;santi Antonio Nguy?n H?u Qu?nh e Pietro Nguy?n Kh?c T?, martiri
10;07;15;beati Emanuele Ruiz, sacerdote, e compagni, martiri.
11;07;1;san Benedetto, abate
11;07;2;san Pio I, papa
11;07;3;santa Marciana, vergine e martire
11;07;4;san Leonzio il Giovane, vescovo di Bordeaux
11;07;5;san Drostano, abate
11;07;6;santi Placido, martire, e Sigisberto, abate
11;07;7;sant'Idulfo, corepiscopo di Treviri, fondatore di Moyenmoutier
11;07;8;sant'Abbondio, sacerdote
11;07;9;santa Olga
11;07;10;beato Bertrando, abate di Grandesilve
11;07;11;san Chetillo, sacerdote e canonico regolare
11;07;12;beati Tommaso Benstead e Tommaso Sprott, sacerdoti e martiri
11;07;13;beate Rosalia Clotilde di Santa Pelagia Bes, Maria Elisabetta di Santa Teoctisto Pélissier, Maria Chiara di San Martino Blanc e Maria Margherita di Santa Sofia de Barbégie d'Albrède, vergini e martiri
11;07;14;sante Anna An Xinzhi, Matia An Guozhi, Anna An Jiaozhi e Maria An Lihua, vergini e martiri.
12;07;1;santi Proclo e Ilarione, martiri
12;07;2;santi Ermagora e Fortunato, martiri
12;07;3;santi Nabore e Felice, martiri
12;07;4;san Vivenziolo, vescovo di Lione
12;07;5;san Giovanni Gualberto, fondatore e abate di Vallombrosa
12;07;6;san Leone I, abate di Cava
12;07;7;beato Davide Gunston, martire, cavaliere gerosolimitano
12;07;8;san Giovanni Jones, sacerdote francescano e martire
12;07;9;beati Mattia Araki e sette compagni, martiri
12;07;10;beate Rosa di San Saverio Tallien, Marta dell'Angelo Buono Cluse, Maria di Sant'Enrico de Justamond e Giovanna Maria di San Bernardo de Romillon, vergini e martiri
12;07;11;san Clemente Ignacio Delgado Cebrián, vescovo di Milopotamo e vicario apostolico del Tonchino orientale e martire
12;07;12;sant'Agnese Lê Th? Thành, martire
12;07;13;san Pietro Khanh, sacerdote e martire.
13;07;1;sant'Enrico, imperatore
13;07;2;sant'Esdra, sacerdote
13;07;3;san Sila
13;07;4;san Serapione, martire
13;07;5;santa Mirope, martire
13;07;6;santi Alessandro e trenta compagni, martiri
13;07;7;sant'Eugenio, vescovo di Cartagine
13;07;8;san Turiavo, abate-vescovo di Dol
13;07;9;beato Jacopo da Varagine, domenicano, vescovo di Genova
13;07;10;beato Tommaso Tunstal, sacerdote benedettino e martire
13;07;11;beati Ludovico Armando Giuseppe Adam e Bartolomeo Jarrige de la Morelie de Biars, sacerdoti e martiri
13;07;12;beate Maddalena della Madre di Dio Verchière e cinque compagne, vergini e martiri
13;07;13;sant'Emanuele Le Van Phung, martire
13;07;14;santa Clelia Barbieri, fondatrice delle Suore Minime dell'Addolorata
13;07;15;beato Ferdinando Maria Baccilieri, sacerdote, fondatore delle Suore Serve di Maria di Galeazza
13;07;16;san Paolo Liu Jinde, martire
13;07;17;san Giuseppe Wang Guiji, martire
13;07;18;beato Carlo Emmanuele Rodríguez Santiago.
14;07;1;san Camillo de Lellis, sacerdote, fondatore dei Chierici Regolari Ministri degli Infermi
14;07;2;sant'Ottaziano, vescovo di Brescia
14;07;3;san Vincenzo Madelgario
14;07;4;san Marchelmo, sacerdote e monaco
14;07;5;beato Croznato, premostratense e martire
14;07;6;beato Bonifacio, certosino, vescovo di Belley e poi di Canterbury
14;07;7;santa Toscana, ospedaliera di San Giovanni
14;07;8;beata Angelina di Marsciano, fondatrice del monastero delle francescane di Foligno
14;07;9;beato Gaspare de Bono, sacerdote dell'Ordine dei Minimi
14;07;10;san Francesco Solano, sacerdote francescano
14;07;11;beato Riccardo Langhorne, martire
14;07;12;beato Ghébr? Michele
14;07;13;san Giovanni Wang Guixin, martire
14;07;14;beato Mariano di Gesù Euse Hoyos, sacerdote.
15;07;1;deposizione di san Bonaventura, cardinale-vescovo di Albano e dottore della Chiesa
15;07;2;santi Eutropio, Zosima e Bonosa, martiri
15;07;3;san Felice, vescovo di Tibiuca e martire
15;07;4;san Catulino, diacono e martire
15;07;5;santi Filippo e dieci compagni, martiri
15;07;6;sant'Abudemio, martire
15;07;7;san Giacomo, vescovo di Nisibi
15;07;8;san Plechelmo, vescovo
15;07;9;san Gumberto, fondatore dell'abbazia di Ansbach
15;07;10;san Giuseppe, vescovo di Tessalonica
15;07;11;sant'Atanasio, vescovo di Napoli
15;07;12;san Vladimiro, principe di Kiev
15;07;13;sant'Ansuero, abate di Ratzeburg e martire
15;07;14;san David, vescovo di Västerås
15;07;15;beato Ceslao, sacerdote domenicano
15;07;16;beato Bernardo, principe di Baden
15;07;17;beati Ignazio de Azevedo, sacerdote, e trentotto compagni gesuiti, martiri
15;07;18;san Pompilio Maria Pirrotti, sacerdote scolopio
15;07;19;beato Michele Bernardo Marchand, sacerdote e martire
15;07;20;san Pietro Nguy?n Bá Tu?n, sacerdote e martire
15;07;21;beata Anna Maria Javouhey, vergine, fondatrice delle Suore di San Giuseppe di Cluny
15;07;22;sant'Andrea Nguy?n Kim Thông N?m Thuông, martire
15;07;23;beato Antonio Beszta-Borowski, sacerdote e martire.
16;07;1;Beata Vergine Maria del Monte Carmelo
16;07;2;sant'Antioco, martire
16;07;3;sant'Atenogene, corepiscopo di Pedactoe e martire
16;07;4;sant'Elerio, eremita
16;07;5;santi Monulfo e Gondulfo, vescovi di Maastricht
16;07;6;santi Reinilde, Grimoaldo e Gondolfo, martiri
16;07;7;san Sisenando, diacono e martire
16;07;8;beata Ermengarda, badessa
16;07;9;beato Simone da Costa, religioso gesuita e martire
16;07;10;beati Giovanni Sugar, sacerdote, e Roberto Grissold, martiri
16;07;11;beati Andrea de Soveral, gesuita, e Domenico Carvalho, martiri
16;07;12;beati Nicola Savouret e Claudio Beguignot, sacerdoti e martiri
16;07;13;beate Amata da Gesù de Gordon e sei compagne, vergini e martiri
16;07;14;santa Maria Maddalena Postel, vergine, fondatrice delle Suore delle Scuole Cristiane della Misericordia
16;07;15;Santi Lang Yangzhi, catecumeno, e Paolo Lang Fu, suo figlio, martiri.
17;07;1;santi martiri scillitani
17;07;2;san Giacinto, martire
17;07;3;sante Giusta e Rufina, vergini
17;07;4;santa Marcellina, vergine
17;07;5;sant'Alessio
17;07;6;san Teodosio, vescovo di Auxerre
17;07;7;sant'Ennodio, vescovo di Pavia
17;07;8;san Fredegando, monaco
17;07;9;san Chenelmo, martire
17;07;10;san Leone IV, papa
17;07;11;san Colmanno, pellegrino
17;07;12;santi Andrea e Benedetto, eremiti
17;07;13;santa Edvige, regina di Polonia
17;07;14;beate Teresa di Sant'Agostino Lidoine e quindici compagne, vergini carmelitane di Compiègne e martiri
17;07;15;san Pietro Liu Ziyu, martire.
18;07;1;santi Sinforosa e sette compagni, martiri
18;07;2;san Materno, vescovo di Milano
18;07;3;sant'Emiliano, martire
18;07;4;san Filastrio, vescovo di Brescia
18;07;5;san Ruffillo, vescovo di Forlimpopoli
18;07;6;sant'Arnolfo, vescovo di Metz
18;07;7;santa Teodosia, martire
18;07;8;san Federico, vescovo di Utrecht
18;07;9;san Bruno, vescovo di Segni
18;07;10;san Simone da Lipnica, sacerdote francescano
18;07;11;beato Giovanni Battista de Bruxelles, sacerdote e martire
18;07;12;san Domenico Nicola Ðinh Ð?t, martire
18;07;13;beata Tarcisia Mackiv, vergine delle Ancelle della Beata Vergine Maria Immacolata e martire.
19;07;1;sant'Epafra
19;07;2;santi Macedonio, Teodulo e Taziano, martiri
19;07;3;santa Macrina, vergine
19;07;4;san Dio il Taumaturgo, archimandrita
19;07;5;san Simmaco, papa
19;07;6;sant'Aurea, vergine
19;07;7;san Bernoldo, vescovo di Utrecht
19;07;8;beata Stilla, vergine
19;07;9;beato Pietro Crisci da Foligno
19;07;10;san Giovanni Plessington, sacerdote e martire
19;07;11;san Giovanni Battista Zhou Wurui, martire
19;07;12;santi Elisabetta Qin Bianzhi e Simone Qin Chunfu, martiri
19;07;13;beati Achille Puchala e Ermanno Stepien, sacerdoti francescani conventuali e martiri.
20;07;1;sant'Apollinare, vescovo di Classe
20;07;2;sant'Elia il Tisbita, profeta
20;07;3;san Giuseppe, chiamato Barsabba
20;07;4;santa Margherita, vergine e martire
20;07;5;san Frumenzio, vescovo
20;07;6;sant'Aurelio, vescovo di Cartagine
20;07;7;san Vulmaro, sacerdote
20;07;8;san Paolo, diacono e martire
20;07;9;beato Bernardo, vescovo di Hildesheim
20;07;10;santi Maddalena Yi Yong-hui, Teresa Yi Mae-im, Marta Kim Songim, Lucia Kim, Rosa Kim, Anna Kim Chang-gum e Maria Won Kwi-im, vergine, e Giovanni Battista Yi Kwang-nyol, martiri
20;07;11;san Giuseppe Maria Díaz Sanjurjo, domenicano, vescovo titolare di Platea e vicario apostolico del Tonchino centrale e martire
20;07;12;santi Leone Ignazio Mangin e Paolo Denn, sacerdoti gesuiti, santa Maria Zhou Wuzhi, san Pietro Zhou Rixin, martiri
20;07;13;santa Maria Fu Guilin, martire
20;07;14;sante Maria Zhao Guozhi, Rosa Zhao e Maria Zhao, martiri
20;07;15;san Xi Guizi, martire
20;07;16;beate Rita della Vergine Addolorata e Francesca del Cuore di Gesù, vergini della congregazione della Carità del Sacro Cuore di Gesù, martiri.
21;07;1;san Lorenzo da Brindisi, sacerdote cappuccino e dottore della Chiesa
21;07;2;san Vittore, martire a Marsiglia
21;07;3;san Simeone, detto lo Stolto, e san Giovanni, eremita
21;07;4;santa Prassede, vergine
21;07;5;sant'Arbogasto, vescovo di Strasburgo
21;07;6;beato Gabriele Pergaud, sacerdote e martire
21;07;7;sant'Alberico Crescitelli, sacerdote del Pontificio Istituto Missioni Estere e martire
21;07;8;san Giuseppe Wang Yumei, martire.
22;07;1;santa Maria Maddalena, discepola del Signore
22;07;2;san Platone, martire
22;07;3;santi martiri massilitani
22;07;4;san Cirillo, vescovo di Antiochia
22;07;5;sant'Anastasio, monaco
22;07;6;san Vandregisilo, abate di Fontenelle
22;07;7;san Meneleo, abate
22;07;8;san Girolamo, vescovo di Pavia
22;07;9;san Gualtiero, fondatore della Casa della Misericordia di Lodi
22;07;10;beato Agostino de Fango da Biella, sacerdote domenicano
22;07;11;natale di san Lorenzo da Brindisi
22;07;12;santi Filippo Evans e Giovanni Lloyd, sacerdoti e martiri
22;07;13;beato Giacomo Lombardie, sacerdote e martire
22;07;14;santi Anna Wang, vergine, Lucia Wang Wangzhi e suo figlio Andrea Wang Tianqing, martiri
22;07;15;santa Maria Wang Lizhi, martire.
23;07;1;santa Brigida, religiosa, fondatrice dell'Ordine del Santissimo Salvatore
23;07;2;sant'Ezechiele, profeta
23;07;3;passione di sant'Apollinare, vescovo di Classe
23;07;4;san Severo, martire
23;07;5;san Giovanni Cassiano, sacerdote
23;07;6;san Valeriano, vescovo di Cimiez
23;07;7;beata Giovanna, vergine del terz'ordine secolare domenicano
23;07;8;beati Niceforo di Gesù e Maria Diez Tejerina, sacerdote, e cinque compagni passionisti, martiri
23;07;9;beati Germano di Gesù e Maria Pérez Giménez, sacerdote, e otto compagni passionisti, martiri
23;07;10;beati Pietro Ruiz de los Paños, fondatore delle Discepole di Gesù, e Giuseppe Sala Pico, Sacerdoti Operai Diocesani e martiri
23;07;11;beato Cristino Gondek, sacerdote francescano e martire.
24;07;1;san Charbel Makhlouf, sacerdote antoniano
24;07;2;santa Cristina, vergine e martire
24;07;3;san Vittorino, martire
24;07;4;san Fantino il Vecchio, eremita
24;07;5;santa Eufrasia, vergine
24;07;6;san Declano, primo vescovo di Ardmore
24;07;7;santa Sigolena, religiosa
24;07;8;santi Boris e Gleb, martiri
24;07;9;san Baldovino, cistercense, fondatore e abate di San Matteo a Rieti
24;07;10;beata Cristina la Mirabile, vergine
24;07;11;santa Cunegonda, principessa d'Ungheria, religiosa clarissa
24;07;12;beato Giovanni Tavelli, gesuato, vescovo di Ferrara
24;07;13;traslazione dei santi magi a Colonia
24;07;14;beato Antonio dell'Aquila, sacerdote agostiniano
24;07;15;beata Ludovica di Savoia, vedova, clarissa colettina
24;07;16;beati Nicola Garlick, Robert Ludlam e Riccardo Simpson, sacerdoti e martiri
24;07;17;beato Giuseppe Lambton, sacerdote e martire
24;07;18;san Giovanni Boste, sacerdote e martire
24;07;19;san Giuseppe Fernández, sacerdote domenicano e martire
24;07;20;beato Modestino di Gesù e Maria, francescano
24;07;21;beati Maria del Pilar di San Francesco Borgia Martínez García, Teresa di Gesù Bambino García García e Maria Angela di San Giuseppe Voltierra Tordesillas, vergini carmelitane scalze e martiri
24;07;22;beata Maria della Mercede Prat, vergine della Compagnia di Santa Teresa di Gesù e martire
24;07;23;beato Saverio Bordas Piferer, sacerdote salesiano e martire.
25;07;1;san Giacomo, apostolo
25;07;2;san Cristoforo, martire
25;07;3;san Cucufate, martire
25;07;4;santi Valentina, Tea e Paolo, martiri
25;07;5;sant'Olimpiade, vedova
25;07;6;san Magnerico, vescovo di Treviri
25;07;7;santi Beato e Banto, eremiti
25;07;8;santa Clodesinda, abbadessa
25;07;9;san Teodemiro, monaco e martire
25;07;10;beato Giovanni Soreth, sacerdote carmelitano
25;07;11;beato Pietro da Mogliano, sacerdote francescano
25;07;12;beati Rodolfo Acquaviva, Alfonso Pacheco, Pietro Berna, Antonio Francisco e Francesco Aranha, gesuiti martiri
25;07;13;beato Antonio Lucci, francescano, vescovo di Bovino
25;07;14;beato Michele Ludovico Brulard, sacerdote carmelitano scalzo e martire
25;07;15;santa Maria del Monte Carmelo Sallés y Barangueras, vergine, fondatrice delle Religiose Concezioniste Missionarie dell'Insegnamento
25;07;16;beati Pietro del Cuore Redondo, Felice delle Cinque Piaghe Ugalde Irurzun e Benedetta Solano Ruiz, religiosi passonisti, martiri
25;07;17;beati Federico Rubio Álvarez, Primo Martínez Castillo, Gerolamo Ochoa Urdangarín e Giovanni della Croce Delgado Pastor, fatebenefratelli, martiri
25;07;18;beato Dionigi Pamplona, sacerdote scolopio, martire
25;07;19;beati Deogratias Palacios, Leone Inchausti, Giuseppe Rada, Giuliano Moreno e Giuseppe Riccardo Diez, agostiniani recolletti, martiri
25;07;20;beata Maria Teresa Kowalska, vergine clarissa cappuccina e martire.
26;07;1;santi Gioacchino e Anna, genitori della Vergine
26;07;2;sant'Erasto
26;07;3;san Simeone, monaco ed eremita
26;07;4;sant'Austindo, vescovo di Auch
26;07;5;beati Evangelista e Pellegrino, sacerdoti agostiniani
26;07;6;beato Ugo degli Atti, monaco silvestrino
26;07;7;beata Camilla Gentili, martire
26;07;8;beato Giovanni Ingram, sacerdote e martire
26;07;9;beati Edoardo Thwing, domenicano
26;07;10;beati Roberto Nutter, sacerdoti e martiri
26;07;11;beato Guglielmo Webster, sacerdote e martire
26;07;12;beato Andrea, martire
26;07;13;beati Marcello Gaucherio Labigne de Reignefort e Pietro Giuseppe Le Groing de La Romagere, sacerdoti e martiri
26;07;14;beate Maria Margherita di Sant'Agostino Bonnet e quattro compagne, vergini orsoline, martiri
26;07;15;santa Bartolomea Capitanio, vergine, fondatrice delle suore della Carità di Maria Bambina
26;07;16;beati Vincenzo Pinilla, agostiniano recolletto, ed Emanuele Martín Sierra, sacerdoti e martiri
26;07;17;beato Tito Brandsma, sacerdote dell'Ordine dei Carmelitani e martire
26;07;18;beato Giorgio Preca, sacerdote, fondatore della Società della Dottrina Cristiana.
27;07;1;santi Sette dormienti di Efeso, martiri
27;07;2;san Pantaleone, martire
27;07;3;sante Giuliana e Semproniana, vergini e martiri
27;07;4;san Desiderato, vescovo di Besançon
27;07;5;san Celestino I, papa
27;07;6;san Simeone, monaco, detto lo Stilita
27;07;7;sant'Orso, abate
27;07;8;san Leobazio, abate di Sennevières
27;07;9;sant'Ecclesio, vescovo di Ravenna
27;07;10;san Galattorio, vescovo di Lescar e martire
27;07;11;sant'Antusa, vergine e monaca
27;07;12;santi Giorgio, diacono e monaco siro, Aurelio e Sabigotone, coniugi, e Felice e Liliosa, coniugi, martiri
27;07;13;san Clemente, vescovo di Acrida
27;07;14;san Bertoldo di Garsten, abate
27;07;15;beato Raimondo Palmerio, padre di famiglia
27;07;16;beato Nevolone, eremita
27;07;17;beata Lucia Bufalari, vergine
27;07;18;beato Roberto Sutton, sacerdote e martire
27;07;19;beato Guglielmo Davies, sacerdote e martire
27;07;20;beata Maria Maddalena Martinengo, badessa clarissa cappuccina
27;07;21;beata Maria della Passione, vergine delle Suore Crocifisse Adoratrici dell'Eucaristia
27;07;22;beato Gioacchino Vilanova Camallonga, sacerdote e martire
27;07;23;beato Modesto Vegas Vegas, sacerdote francescano conventuale e martire
27;07;24;beati Filippo Hernández Martínez, Zaccaria Abadia Buesa e Giacomo Ortiz Alzueta, salesiani e martiri
27;07;25;beata Maria Clemente di Gesù Crocifisso Staszewska, vergine orsolina e martire.
28;07;1;santi Procoro, Nicanore, Timone, Parmenas e Nicola, diaconi
28;07;2;san Vittore I, papa
28;07;3;santi Martiri della Tebaide in Egitto
28;07;4;sant'Acacio di Mileto, martire
28;07;5;santi Nazario e Celso, martiri
28;07;6;san Cameliano, vescovo di Troyes
28;07;7;santo Sansone, abate e vescovo
28;07;8;san Botvido, martire
28;07;9;san Melchiorre García-Sampedro, domenicano, vescovo di Tricomia e vicario apostolico del Tonchino centrale e martire
28;07;10;san Pietro Poveda Castroverde, sacerdote e martire, fondatore dell'Istituzione Teresiana
28;07;11;beati Emanuele Segura e David Carlos, martiri
28;07;12;san Giacomo Ilario Barbal Cosín, religioso dei Fratelli delle Scuole Cristiane, martire
28;07;13;beati Giuseppe Caselles Moncho e Giuseppe Castell Camps, sacerdoti salesiani e martiri
28;07;14;santa Alfonsa dell'Immacolata Concezione, vergine clarissa.
29;07;1;santa Marta, discepola del Signore
29;07;2;san Callinico, martire
29;07;3;san Felice, martire
29;07;4;santi Simplicio, Faustino, Viatrice e Rufo, martiri
29;07;5;san Lupo, vescovo di Troyes
29;07;6;san Prospero, vescovo di Orléans
29;07;7;sant'Olav, martire
29;07;8;beato Urbano II, papa
29;07;9;san Guglielmo Pinchon, vescovo di Saint-Brieuc
29;07;10;beati Ludovico Bertran, Mancio della Santa Croce e Pietro di Santa Maria, martiri domenicani
29;07;11;beato Carlo Nicola Antonio Ancel, sacerdote eudista e martire
29;07;12;santi Giuseppe Zhang Wenlan, Paolo Chen Changpin, Giovanni Battista Lou Tingyin, Marta Wang Louzhi, martiri
29;07;13;beato Giovan Battista Egozcuezábal Aldaz, religioso fatebenefratelli e martire
29;07;14;beato Lucio Martínez Mancebo, sacerdote domenicano, e altri compagni martiri
29;07;15;beato Giuseppe Calasanz Marques, sacerdote salesiano e martire.
30;07;1;san Pietro Crisologo, vescovo di Ravenna e dottore della Chiesa
30;07;2;santi Abdon e Sennen, martiri
30;07;3;santa Giulitta
30;07;4;sante Massima, Domitilla e Seconda, vergini e martiri
30;07;5;sant'Orso, vescovo di Auxerre
30;07;6;san Godeleva, martire
30;07;7;beato Manno Guzmán, sacerdote domenicano
30;07;8;beati Edoardo Powell, Riccardo Featherstone e Tommaso Abel, sacerdoti e martiri
30;07;9;san Giuseppe Yuan Gengyin, martire
30;07;10;beati Braulione Maria Corres Díaz de Cerio, sacerdote, e quattordici compagni fatebenefratelli, martiri
30;07;11;beati Giuseppe Maria Muro Sanmiguel e Gioacchino Prats Baltueña, domenicani, e Zosimo Izquierdo Gil, martiri
30;07;12;beato Sergio Cid Pazo, sacerdoti della Società Salesiana e martire
30;07;13;san Leopoldo da Castelnuovo, sacerdote cappuccino
30;07;14;santa Maria Vincenza di Santa Dorotea Chávez Orozco, vergine, fondatrice delle Serve della Santissima Trinità e dei Poveri
30;07;15;beata Zdenka Schelingová, vergine delle Suore di Carità della Santa Croce
30;07;16;beata Maria di Gesù Sacramentato Venegas de la Torre, vergine, fondatrice delle Figlie del Sacro Cuore di Gesù.
31;07;1;sant'Ignazio di Loyola, sacerdote, fondatore della Compagnia di Gesù
31;07;2;san Calimero, vescovo di Milano
31;07;3;santi Democrito, Secondo e Dionigi, martiri
31;07;4;san Fabio, martire
31;07;5;san Tertullino, martire
31;07;6;san Germano, vescovo di Auxerre
31;07;7;transito di san Pietro Crisologo, vescovo di Ravenna e dottore della Chiesa
31;07;8;sant'Elena di Skövde, vedova e martire
31;07;9;beato Giovanni Colombini, fondatore dei gesuati
31;07;10;beato Everardo Hanse, sacerdoti e martire
31;07;11;beato Giovanni Francesco Jarrige de la Morelie du Breuil, sacerdote e martire
31;07;12;santi Pietro Ðoàn Công Quý ed Emanuele Ph?ng, martiri
31;07;13;san Giustino de Jacobis, lazzarista, vescovo di Nilopoli e vicario apostolico dell'Abissinia
31;07;14;beati Dionigi Vicente Ramos e Francesco Remón Játiva, francescani conventuali, martiri
31;07;15;beato Giacomo Buch Canals, salesiano
31;07;16;beato Michele Ozi?b?owski, sacerdoti e martire
31;07;17;beato Francesco Stryjas, martire
31;07;18;beata Sidonia Schelingová, vergine delle Suore di Carità della Santa Croce e martire.
