giorno;mese;progessivo;santo
15;01;9;beato Romedio, anacoreta
15;01;10;san Bonito, vescovo di Clermont
15;01;11;beato Pietro di Castelnau, sacerdote e martire
15;01;12;beato Giacomo, detto l'Elemosiniere
15;01;13;beato Angelo da Gualdo Tadino, eremita
15;01;14;san Francesco Fernández de Capillas, sacerdote domenicano e martire in Cina
15;01;15;sant'Arnoldo Janssen, sacerdote, fondatore della Società del Verbo Divino
15;01;16;beato Nicola Gross, padre di famiglia e martire.
16;01;1;san Marcello I, papa
16;01;2;san Tammaro, vescovo di Benevento
16;01;3;san Danatte, martire
16;01;4;san Mela
16;01;5;sant'Onorato, vescovo di Arles
16;01;6;san Giacomo, vescovo di Tarantasia
16;01;7;san Tiziano, vescovo di Oderzo
16;01;8;san Leobazio, abate
16;01;9;san Troverio, sacerdote, monaco ed eremita
16;01;10;san Furseo, abate, fondatore del monastero di Lagny
16;01;11;santa Giovanna, vergine camaldolese
16;01;12;santi Berardo, Ottone, Pietro, Accursio e Adiuto, primi martiri francescani
16;01;13;san Giuseppe Vaz, sacerdote oratoriano
16;01;14;beato Giuseppe Tovini.
17;01;1;sant'Antonio, abate
17;01;2;santi Speusippo, Elasippo, Melasippo e Leonilla, martiri in Cappadocia
17;01;3;san Giuliano, detto Saba, eremita
17;01;4;san Marcello, vescovo di Die
17;01;5;san Sulpizio il Pio, vescovo di Bourges
17;01;6;beato Gamelberto, sacerdote, fondatore del monastero di Metten
17;01;7;santa Rossellina, badessa di Celle-Roubaud
17;01;8;san Gennaro Sánchez Delgadillo, sacerdote e martire del Messico.
18;01;1;santi Successo, Paolo e Lucio, vescovi e martiri a Cartagine
18;01;2;santi Cosconio, Zenone e Melanippo, martiri a Nicea, in Bitinia
18;01;3;san Volusiano, vescovo di Tours
18;01;4;santa Prisca
18;01;5;san Deicola, abate e fondatore del monastero di Luxeuil
18;01;6;beata Beatrice II d'Este, monaca
18;01;7;santa Margherita, vergine
18;01;8;san Fazio, pellegrino e penitente
18;01;9;beato Andrea Grego da Peschiera, sacerdote domenicano
18;01;10;beata Cristina Ciccarelli, vergine agostiniana
18;01;11;beata Regina Protmann, vergine, fondatrice delle Suore di Santa Caterina Vergine e Martire
18;01;12;beate Felicita Pricet, Monica Pichery, Carla Lucas e Vittoria Gusteau, martiri
18;01;13;beata Maria Teresa Fasce, badessa del monastero agostiniano di Cascia.
19;01;1;san Germanico, martire di Filadelfia
19;01;2;san Ponziano, martire di Spoleto
19;01;3;santi Mario, Marta, Audiface e Abaco, martiri
19;01;4;san Macario il Grande, sacerdote e abate del monastero di Scete
19;01;5;san Macario Alessandrino, monaco
19;01;6;san Bassiano, vescovo di Lodi
19;01;7;san Launomaro, abate di Corbion
19;01;8;san Giovanni, vescovo di Ravenna
19;01;9;san Remigio, vescovo di Rouen
19;01;10;sant'Arsenio, vescovo di Corfù
19;01;11;beato Marcello Spínola y Maestre, vescovo di Siviglia, fondatore delle Ancelle del Divin Cuore.
20;01;1;san Fabiano, papa e martire
20;01;2;san Sebastiano, martire
20;01;3;sant'Ascla, martire ad Antinoe
20;01;4;san Neofito martire a Nicea, in Bitinia
20;01;5;sant'Eutimio, abate
